a.	900	in	soa	b.c.d.a. e.f.g. 1738013954 1800 300 604800 1800
aw.a.	3600	in	ns	q.r.s.
aw.a.	3600	in	ns	t.r.s.
aw.a.	3600	in	ns	u.r.s.
aw.a.	3600	in	ns	v.r.s.
ax.a.	3600	in	ns	j.k.l.m.
ax.a.	3600	in	ns	n.k.l.m.
ax.a.	3600	in	ns	o.k.l.m.
ax.a.	3600	in	ns	p.k.l.m.
ax.a.	3600	in	ns	q.r.s.
ax.a.	3600	in	ns	t.r.s.
ax.a.	3600	in	ns	u.r.s.
ax.a.	3600	in	ns	v.r.s.
ay.a.	3600	in	ns	j.k.l.m.
ay.a.	3600	in	ns	n.k.l.m.
ay.a.	3600	in	ns	o.k.l.m.
ay.a.	3600	in	ns	p.k.l.m.
ay.a.	3600	in	ns	q.r.s.
ay.a.	3600	in	ns	t.r.s.
ay.a.	3600	in	ns	u.r.s.
ay.a.	3600	in	ns	v.r.s.
az.a.	3600	in	ns	j.k.l.m.
az.a.	3600	in	ns	n.k.l.m.
az.a.	3600	in	ns	o.k.l.m.
az.a.	3600	in	ns	p.k.l.m.
az.a.	3600	in	ns	q.r.s.
az.a.	3600	in	ns	t.r.s.
az.a.	3600	in	ns	u.r.s.
az.a.	3600	in	ns	v.r.s.
ba.a.	3600	in	ns	j.k.l.m.
ba.a.	3600	in	ns	n.k.l.m.
ba.a.	3600	in	ns	o.k.l.m.
ba.a.	3600	in	ns	p.k.l.m.
ba.a.	3600	in	ns	q.r.s.
ba.a.	3600	in	ns	t.r.s.
ba.a.	3600	in	ns	u.r.s.
ba.a.	3600	in	ns	v.r.s.
bb.a.	3600	in	ns	j.k.l.m.
bb.a.	3600	in	ns	n.k.l.m.
bb.a.	3600	in	ns	o.k.l.m.
bb.a.	3600	in	ns	p.k.l.m.
bb.a.	3600	in	ns	q.r.s.
bb.a.	3600	in	ns	t.r.s.
bb.a.	3600	in	ns	u.r.s.
bb.a.	3600	in	ns	v.r.s.
bc.a.	3600	in	ns	j.k.l.m.
bc.a.	3600	in	ns	n.k.l.m.
bc.a.	3600	in	ns	o.k.l.m.
bc.a.	3600	in	ns	p.k.l.m.
bc.a.	3600	in	ns	q.r.s.
bc.a.	3600	in	ns	t.r.s.
bc.a.	3600	in	ns	u.r.s.
bc.a.	3600	in	ns	v.r.s.
bd.a.	3600	in	ns	j.k.l.m.
bd.a.	3600	in	ns	n.k.l.m.
bd.a.	3600	in	ns	o.k.l.m.
bd.a.	3600	in	ns	p.k.l.m.
bd.a.	3600	in	ns	q.r.s.
bd.a.	3600	in	ns	t.r.s.
bd.a.	3600	in	ns	u.r.s.
bd.a.	3600	in	ns	v.r.s.
be.a.	3600	in	ns	j.k.l.m.
be.a.	3600	in	ns	n.k.l.m.
be.a.	3600	in	ns	o.k.l.m.
be.a.	3600	in	ns	p.k.l.m.
be.a.	3600	in	ns	q.r.s.
be.a.	3600	in	ns	t.r.s.
be.a.	3600	in	ns	u.r.s.
be.a.	3600	in	ns	v.r.s.
bf.a.	3600	in	ns	j.k.l.m.
bf.a.	3600	in	ns	n.k.l.m.
bf.a.	3600	in	ns	o.k.l.m.
bf.a.	3600	in	ns	p.k.l.m.
bf.a.	3600	in	ns	q.r.s.
bf.a.	3600	in	ns	t.r.s.
bf.a.	3600	in	ns	u.r.s.
bf.a.	3600	in	ns	v.r.s.
bg.a.	3600	in	ns	j.k.l.m.
bg.a.	3600	in	ns	n.k.l.m.
bg.a.	3600	in	ns	o.k.l.m.
bg.a.	3600	in	ns	p.k.l.m.
bg.a.	3600	in	ns	q.r.s.
bg.a.	3600	in	ns	t.r.s.
bg.a.	3600	in	ns	u.r.s.
bg.a.	3600	in	ns	v.r.s.
bh.a.	3600	in	ns	j.k.l.m.
bh.a.	3600	in	ns	n.k.l.m.
bh.a.	3600	in	ns	o.k.l.m.
bh.a.	3600	in	ns	p.k.l.m.
bh.a.	3600	in	ns	q.r.s.
bh.a.	3600	in	ns	t.r.s.
bh.a.	3600	in	ns	u.r.s.
bh.a.	3600	in	ns	v.r.s.
bi.d.a.	3600	in	a	37.209.198.9
bi.d.a.	3600	in	aaaa	2001:0dcd:0004:0000:0000:0000:0000:0009
bj.a.	3600	in	ns	j.k.l.m.
bj.a.	3600	in	ns	n.k.l.m.
bj.a.	3600	in	ns	o.k.l.m.
bj.a.	3600	in	ns	p.k.l.m.
bj.a.	3600	in	ns	q.r.s.
bj.a.	3600	in	ns	t.r.s.
bj.a.	3600	in	ns	u.r.s.
bj.a.	3600	in	ns	v.r.s.
bk.a.	3600	in	ns	j.k.l.m.
bk.a.	3600	in	ns	n.k.l.m.
bk.a.	3600	in	ns	o.k.l.m.
bk.a.	3600	in	ns	p.k.l.m.
bk.a.	3600	in	ns	q.r.s.
bk.a.	3600	in	ns	t.r.s.
bk.a.	3600	in	ns	u.r.s.
bk.a.	3600	in	ns	v.r.s.
bl.a.	3600	in	ns	j.k.l.m.
bl.a.	3600	in	ns	n.k.l.m.
bl.a.	3600	in	ns	o.k.l.m.
bl.a.	3600	in	ns	p.k.l.m.
bl.a.	3600	in	ns	q.r.s.
bl.a.	3600	in	ns	t.r.s.
bl.a.	3600	in	ns	u.r.s.
bl.a.	3600	in	ns	v.r.s.
bm.a.	3600	in	ns	j.k.l.m.
bm.a.	3600	in	ns	n.k.l.m.
bm.a.	3600	in	ns	o.k.l.m.
bm.a.	3600	in	ns	p.k.l.m.
bm.a.	3600	in	ns	q.r.s.
bm.a.	3600	in	ns	t.r.s.
bm.a.	3600	in	ns	u.r.s.
bm.a.	3600	in	ns	v.r.s.
bn.a.	3600	in	ns	b.a.s.
bn.a.	3600	in	ns	bo.a.s.
bn.a.	3600	in	ns	bp.a.s.
bq.a.	3600	in	ns	j.k.l.m.
bq.a.	3600	in	ns	n.k.l.m.
bq.a.	3600	in	ns	o.k.l.m.
bq.a.	3600	in	ns	p.k.l.m.
bq.a.	3600	in	ns	q.r.s.
bq.a.	3600	in	ns	t.r.s.
bq.a.	3600	in	ns	u.r.s.
bq.a.	3600	in	ns	v.r.s.
br.a.	3600	in	ns	j.k.l.m.
br.a.	3600	in	ns	n.k.l.m.
br.a.	3600	in	ns	o.k.l.m.
br.a.	3600	in	ns	p.k.l.m.
br.a.	3600	in	ns	q.r.s.
br.a.	3600	in	ns	t.r.s.
br.a.	3600	in	ns	u.r.s.
br.a.	3600	in	ns	v.r.s.
bs.a.	3600	in	ns	j.k.l.m.
bs.a.	3600	in	ns	n.k.l.m.
bs.a.	3600	in	ns	o.k.l.m.
bs.a.	3600	in	ns	p.k.l.m.
bs.a.	3600	in	ns	q.r.s.
bs.a.	3600	in	ns	t.r.s.
bs.a.	3600	in	ns	u.r.s.
bs.a.	3600	in	ns	v.r.s.
bt.a.	3600	in	ns	bu.bv.m.
bt.a.	3600	in	ns	bw.bx.ae.
bt.a.	3600	in	ns	by.bz.ah.ai.
bt.a.	3600	in	ns	ca.cb.s.
cc.a.	3600	in	ns	j.k.l.m.
cc.a.	3600	in	ns	n.k.l.m.
cc.a.	3600	in	ns	o.k.l.m.
cc.a.	3600	in	ns	p.k.l.m.
cc.a.	3600	in	ns	q.r.s.
cc.a.	3600	in	ns	t.r.s.
cc.a.	3600	in	ns	u.r.s.
cc.a.	3600	in	ns	v.r.s.
cd.a.	3600	in	ns	j.k.l.m.
cd.a.	3600	in	ns	n.k.l.m.
cd.a.	3600	in	ns	o.k.l.m.
cd.a.	3600	in	ns	p.k.l.m.
cd.a.	3600	in	ns	q.r.s.
cd.a.	3600	in	ns	t.r.s.
cd.a.	3600	in	ns	u.r.s.
cd.a.	3600	in	ns	v.r.s.
ce.a.	3600	in	ns	j.k.l.m.
ce.a.	3600	in	ns	n.k.l.m.
ce.a.	3600	in	ns	o.k.l.m.
ce.a.	3600	in	ns	p.k.l.m.
ce.a.	3600	in	ns	q.r.s.
ce.a.	3600	in	ns	t.r.s.
ce.a.	3600	in	ns	u.r.s.
ce.a.	3600	in	ns	v.r.s.
cf.a.	3600	in	ns	j.k.l.m.
cf.a.	3600	in	ns	n.k.l.m.
cf.a.	3600	in	ns	o.k.l.m.
cf.a.	3600	in	ns	p.k.l.m.
cf.a.	3600	in	ns	q.r.s.
cf.a.	3600	in	ns	t.r.s.
cf.a.	3600	in	ns	u.r.s.
cf.a.	3600	in	ns	v.r.s.
cg.a.	3600	in	ns	j.k.l.m.
cg.a.	3600	in	ns	n.k.l.m.
cg.a.	3600	in	ns	o.k.l.m.
cg.a.	3600	in	ns	p.k.l.m.
cg.a.	3600	in	ns	q.r.s.
cg.a.	3600	in	ns	t.r.s.
cg.a.	3600	in	ns	u.r.s.
cg.a.	3600	in	ns	v.r.s.
ch.a.	3600	in	ns	j.k.l.m.
ch.a.	3600	in	ns	n.k.l.m.
ch.a.	3600	in	ns	o.k.l.m.
ch.a.	3600	in	ns	p.k.l.m.
ch.a.	3600	in	ns	q.r.s.
ch.a.	3600	in	ns	t.r.s.
ch.a.	3600	in	ns	u.r.s.
ch.a.	3600	in	ns	v.r.s.
ci.a.	3600	in	ns	j.k.l.m.
ci.a.	3600	in	ns	n.k.l.m.
ci.a.	3600	in	ns	o.k.l.m.
ci.a.	3600	in	ns	p.k.l.m.
ci.a.	3600	in	ns	q.r.s.
ci.a.	3600	in	ns	t.r.s.
ci.a.	3600	in	ns	u.r.s.
ci.a.	3600	in	ns	v.r.s.
cj.a.	3600	in	ns	j.k.l.m.
cj.a.	3600	in	ns	n.k.l.m.
cj.a.	3600	in	ns	o.k.l.m.
cj.a.	3600	in	ns	p.k.l.m.
cj.a.	3600	in	ns	q.r.s.
cj.a.	3600	in	ns	t.r.s.
cj.a.	3600	in	ns	u.r.s.
cj.a.	3600	in	ns	v.r.s.
ck.a.	3600	in	ns	j.k.l.m.
ck.a.	3600	in	ns	n.k.l.m.
ck.a.	3600	in	ns	o.k.l.m.
ck.a.	3600	in	ns	p.k.l.m.
ck.a.	3600	in	ns	q.r.s.
ck.a.	3600	in	ns	t.r.s.
ck.a.	3600	in	ns	u.r.s.
ck.a.	3600	in	ns	v.r.s.
cl.a.	3600	in	ns	j.k.l.m.
cl.a.	3600	in	ns	n.k.l.m.
cl.a.	3600	in	ns	o.k.l.m.
cl.a.	3600	in	ns	p.k.l.m.
cl.a.	3600	in	ns	q.r.s.
cl.a.	3600	in	ns	t.r.s.
cl.a.	3600	in	ns	u.r.s.
cl.a.	3600	in	ns	v.r.s.
cm.a.	3600	in	ns	j.k.l.m.
cm.a.	3600	in	ns	n.k.l.m.
cm.a.	3600	in	ns	o.k.l.m.
cm.a.	3600	in	ns	p.k.l.m.
cm.a.	3600	in	ns	q.r.s.
cm.a.	3600	in	ns	t.r.s.
cm.a.	3600	in	ns	u.r.s.
cm.a.	3600	in	ns	v.r.s.
cn.a.	3600	in	ns	j.k.l.m.
cn.a.	3600	in	ns	n.k.l.m.
cn.a.	3600	in	ns	o.k.l.m.
cn.a.	3600	in	ns	p.k.l.m.
cn.a.	3600	in	ns	q.r.s.
cn.a.	3600	in	ns	t.r.s.
cn.a.	3600	in	ns	u.r.s.
cn.a.	3600	in	ns	v.r.s.
co.a.	3600	in	ns	j.k.l.m.
co.a.	3600	in	ns	n.k.l.m.
co.a.	3600	in	ns	o.k.l.m.
co.a.	3600	in	ns	p.k.l.m.
co.a.	3600	in	ns	q.r.s.
co.a.	3600	in	ns	t.r.s.
co.a.	3600	in	ns	u.r.s.
co.a.	3600	in	ns	v.r.s.
cp.a.	3600	in	ns	j.k.l.m.
cp.a.	3600	in	ns	n.k.l.m.
cp.a.	3600	in	ns	o.k.l.m.
cp.a.	3600	in	ns	p.k.l.m.
cp.a.	3600	in	ns	q.r.s.
cp.a.	3600	in	ns	t.r.s.
cp.a.	3600	in	ns	u.r.s.
cp.a.	3600	in	ns	v.r.s.
cq.a.	3600	in	ns	j.k.l.m.
cq.a.	3600	in	ns	n.k.l.m.
cq.a.	3600	in	ns	o.k.l.m.
cq.a.	3600	in	ns	p.k.l.m.
cq.a.	3600	in	ns	q.r.s.
cq.a.	3600	in	ns	t.r.s.
cq.a.	3600	in	ns	u.r.s.
cq.a.	3600	in	ns	v.r.s.
cr.a.	3600	in	ns	j.k.l.m.
cr.a.	3600	in	ns	n.k.l.m.
cr.a.	3600	in	ns	o.k.l.m.
cr.a.	3600	in	ns	p.k.l.m.
cr.a.	3600	in	ns	q.r.s.
cr.a.	3600	in	ns	t.r.s.
cr.a.	3600	in	ns	u.r.s.
cr.a.	3600	in	ns	v.r.s.
cs.a.	3600	in	ns	j.k.l.m.
cs.a.	3600	in	ns	n.k.l.m.
cs.a.	3600	in	ns	o.k.l.m.
cs.a.	3600	in	ns	p.k.l.m.
cs.a.	3600	in	ns	q.r.s.
cs.a.	3600	in	ns	t.r.s.
cs.a.	3600	in	ns	u.r.s.
cs.a.	3600	in	ns	v.r.s.
ct.a.	3600	in	ns	j.k.l.m.
ct.a.	3600	in	ns	n.k.l.m.
ct.a.	3600	in	ns	o.k.l.m.
ct.a.	3600	in	ns	p.k.l.m.
ct.a.	3600	in	ns	q.r.s.
ct.a.	3600	in	ns	t.r.s.
ct.a.	3600	in	ns	u.r.s.
ct.a.	3600	in	ns	v.r.s.
cu.a.	3600	in	ns	j.k.l.m.
cu.a.	3600	in	ns	n.k.l.m.
cu.a.	3600	in	ns	o.k.l.m.
cu.a.	3600	in	ns	p.k.l.m.
cu.a.	3600	in	ns	q.r.s.
cu.a.	3600	in	ns	t.r.s.
cu.a.	3600	in	ns	u.r.s.
cu.a.	3600	in	ns	v.r.s.
cv.a.	3600	in	ns	j.k.l.m.
cv.a.	3600	in	ns	n.k.l.m.
cv.a.	3600	in	ns	o.k.l.m.
cv.a.	3600	in	ns	p.k.l.m.
cv.a.	3600	in	ns	q.r.s.
cv.a.	3600	in	ns	t.r.s.
cv.a.	3600	in	ns	u.r.s.
cv.a.	3600	in	ns	v.r.s.
cw.a.	3600	in	ns	j.k.l.m.
cw.a.	3600	in	ns	n.k.l.m.
cw.a.	3600	in	ns	o.k.l.m.
cw.a.	3600	in	ns	p.k.l.m.
cw.a.	3600	in	ns	q.r.s.
cw.a.	3600	in	ns	t.r.s.
cw.a.	3600	in	ns	u.r.s.
cw.a.	3600	in	ns	v.r.s.
cx.a.	3600	in	ns	j.k.l.m.
cx.a.	3600	in	ns	n.k.l.m.
cx.a.	3600	in	ns	o.k.l.m.
cx.a.	3600	in	ns	p.k.l.m.
cx.a.	3600	in	ns	q.r.s.
cx.a.	3600	in	ns	t.r.s.
cx.a.	3600	in	ns	u.r.s.
cx.a.	3600	in	ns	v.r.s.
cy.a.	3600	in	ns	j.k.l.m.
cy.a.	3600	in	ns	n.k.l.m.
cy.a.	3600	in	ns	o.k.l.m.
cy.a.	3600	in	ns	p.k.l.m.
cy.a.	3600	in	ns	q.r.s.
cy.a.	3600	in	ns	t.r.s.
cy.a.	3600	in	ns	u.r.s.
cy.a.	3600	in	ns	v.r.s.
cz.a.	3600	in	ns	j.k.l.m.
cz.a.	3600	in	ns	n.k.l.m.
cz.a.	3600	in	ns	o.k.l.m.
cz.a.	3600	in	ns	p.k.l.m.
cz.a.	3600	in	ns	q.r.s.
cz.a.	3600	in	ns	t.r.s.
cz.a.	3600	in	ns	u.r.s.
cz.a.	3600	in	ns	v.r.s.
da.a.	3600	in	ns	j.k.l.m.
da.a.	3600	in	ns	n.k.l.m.
da.a.	3600	in	ns	o.k.l.m.
da.a.	3600	in	ns	p.k.l.m.
da.a.	3600	in	ns	q.r.s.
da.a.	3600	in	ns	t.r.s.
da.a.	3600	in	ns	u.r.s.
da.a.	3600	in	ns	v.r.s.
db.a.	3600	in	ns	j.k.l.m.
db.a.	3600	in	ns	n.k.l.m.
db.a.	3600	in	ns	o.k.l.m.
db.a.	3600	in	ns	p.k.l.m.
db.a.	3600	in	ns	q.r.s.
db.a.	3600	in	ns	t.r.s.
db.a.	3600	in	ns	u.r.s.
db.a.	3600	in	ns	v.r.s.
dc.a.	3600	in	ns	j.k.l.m.
dc.a.	3600	in	ns	n.k.l.m.
dc.a.	3600	in	ns	o.k.l.m.
dc.a.	3600	in	ns	p.k.l.m.
dc.a.	3600	in	ns	q.r.s.
dc.a.	3600	in	ns	t.r.s.
dc.a.	3600	in	ns	u.r.s.
dc.a.	3600	in	ns	v.r.s.
a.	86400	in	ns	h.d.a.
a.	86400	in	ns	an.d.a.
a.	86400	in	ns	au.d.a.
a.	86400	in	ns	b.c.d.a.
a.	86400	in	ns	dd.c.d.a.
a.	86400	in	ns	bo.c.d.a.
a.a.	3600	in	ns	j.k.l.m.
a.a.	3600	in	ns	n.k.l.m.
a.a.	3600	in	ns	o.k.l.m.
a.a.	3600	in	ns	p.k.l.m.
a.a.	3600	in	ns	q.r.s.
a.a.	3600	in	ns	t.r.s.
a.a.	3600	in	ns	u.r.s.
a.a.	3600	in	ns	v.r.s.
de.a.	3600	in	ns	j.k.l.m.
de.a.	3600	in	ns	n.k.l.m.
de.a.	3600	in	ns	o.k.l.m.
de.a.	3600	in	ns	p.k.l.m.
de.a.	3600	in	ns	q.r.s.
de.a.	3600	in	ns	t.r.s.
de.a.	3600	in	ns	u.r.s.
de.a.	3600	in	ns	v.r.s.
df.a.	3600	in	ns	j.k.l.m.
df.a.	3600	in	ns	n.k.l.m.
df.a.	3600	in	ns	o.k.l.m.
df.a.	3600	in	ns	p.k.l.m.
df.a.	3600	in	ns	q.r.s.
df.a.	3600	in	ns	t.r.s.
df.a.	3600	in	ns	u.r.s.
df.a.	3600	in	ns	v.r.s.
dg.a.	3600	in	ns	j.k.l.m.
dg.a.	3600	in	ns	n.k.l.m.
dg.a.	3600	in	ns	o.k.l.m.
dg.a.	3600	in	ns	p.k.l.m.
dg.a.	3600	in	ns	q.r.s.
dg.a.	3600	in	ns	t.r.s.
dg.a.	3600	in	ns	u.r.s.
dg.a.	3600	in	ns	v.r.s.
dh.a.	3600	in	ns	j.k.l.m.
dh.a.	3600	in	ns	n.k.l.m.
dh.a.	3600	in	ns	o.k.l.m.
dh.a.	3600	in	ns	p.k.l.m.
dh.a.	3600	in	ns	q.r.s.
dh.a.	3600	in	ns	t.r.s.
dh.a.	3600	in	ns	u.r.s.
dh.a.	3600	in	ns	v.r.s.
di.a.	3600	in	ns	j.k.l.m.
di.a.	3600	in	ns	n.k.l.m.
di.a.	3600	in	ns	o.k.l.m.
di.a.	3600	in	ns	p.k.l.m.
di.a.	3600	in	ns	q.r.s.
di.a.	3600	in	ns	t.r.s.
di.a.	3600	in	ns	u.r.s.
di.a.	3600	in	ns	v.r.s.
dj.a.	3600	in	ns	j.k.l.m.
dj.a.	3600	in	ns	n.k.l.m.
dj.a.	3600	in	ns	o.k.l.m.
dj.a.	3600	in	ns	p.k.l.m.
dj.a.	3600	in	ns	q.r.s.
dj.a.	3600	in	ns	t.r.s.
dj.a.	3600	in	ns	u.r.s.
dj.a.	3600	in	ns	v.r.s.
dk.a.	3600	in	ns	j.k.l.m.
dk.a.	3600	in	ns	n.k.l.m.
dk.a.	3600	in	ns	o.k.l.m.
dk.a.	3600	in	ns	p.k.l.m.
dk.a.	3600	in	ns	q.dl.s.
dk.a.	3600	in	ns	t.dl.s.
dk.a.	3600	in	ns	u.dl.s.
dk.a.	3600	in	ns	v.dl.s.
dm.a.	3600	in	ns	j.k.l.m.
dm.a.	3600	in	ns	n.k.l.m.
dm.a.	3600	in	ns	o.k.l.m.
dm.a.	3600	in	ns	p.k.l.m.
dm.a.	3600	in	ns	q.r.s.
dm.a.	3600	in	ns	t.r.s.
dm.a.	3600	in	ns	u.r.s.
dm.a.	3600	in	ns	v.r.s.
dn.a.	3600	in	ns	j.k.l.m.
dn.a.	3600	in	ns	n.k.l.m.
dn.a.	3600	in	ns	o.k.l.m.
dn.a.	3600	in	ns	p.k.l.m.
dn.a.	3600	in	ns	q.r.s.
dn.a.	3600	in	ns	t.r.s.
dn.a.	3600	in	ns	u.r.s.
dn.a.	3600	in	ns	v.r.s.
do.d.a.	86400	in	a	204.74.104.90
do.d.a.	86400	in	aaaa	2610:00a1:315a:0000:0000:0000:0000:0053
dp.a.	3600	in	ns	j.k.l.m.
dp.a.	3600	in	ns	n.k.l.m.
dp.a.	3600	in	ns	o.k.l.m.
dp.a.	3600	in	ns	p.k.l.m.
dp.a.	3600	in	ns	q.r.s.
dp.a.	3600	in	ns	t.r.s.
dp.a.	3600	in	ns	u.r.s.
dp.a.	3600	in	ns	v.r.s.
dq.a.	3600	in	ns	j.k.l.m.
dq.a.	3600	in	ns	n.k.l.m.
dq.a.	3600	in	ns	o.k.l.m.
dq.a.	3600	in	ns	p.k.l.m.
dq.a.	3600	in	ns	q.r.s.
dq.a.	3600	in	ns	t.r.s.
dq.a.	3600	in	ns	u.r.s.
dq.a.	3600	in	ns	v.r.s.
dr.a.	3600	in	ns	j.k.l.m.
dr.a.	3600	in	ns	n.k.l.m.
dr.a.	3600	in	ns	o.k.l.m.
dr.a.	3600	in	ns	p.k.l.m.
dr.a.	3600	in	ns	q.r.s.
dr.a.	3600	in	ns	t.r.s.
dr.a.	3600	in	ns	u.r.s.
dr.a.	3600	in	ns	v.r.s.
ds.a.	3600	in	ns	j.k.l.m.
ds.a.	3600	in	ns	n.k.l.m.
ds.a.	3600	in	ns	o.k.l.m.
ds.a.	3600	in	ns	p.k.l.m.
ds.a.	3600	in	ns	q.r.s.
ds.a.	3600	in	ns	t.r.s.
ds.a.	3600	in	ns	u.r.s.
ds.a.	3600	in	ns	v.r.s.
dt.a.	3600	in	ns	j.k.l.m.
dt.a.	3600	in	ns	n.k.l.m.
dt.a.	3600	in	ns	o.k.l.m.
dt.a.	3600	in	ns	p.k.l.m.
dt.a.	3600	in	ns	q.r.s.
dt.a.	3600	in	ns	t.r.s.
dt.a.	3600	in	ns	u.r.s.
dt.a.	3600	in	ns	v.r.s.
du.a.	3600	in	ns	j.k.l.m.
du.a.	3600	in	ns	n.k.l.m.
du.a.	3600	in	ns	o.k.l.m.
du.a.	3600	in	ns	p.k.l.m.
du.a.	3600	in	ns	q.r.s.
du.a.	3600	in	ns	t.r.s.
du.a.	3600	in	ns	u.r.s.
du.a.	3600	in	ns	v.r.s.
dv.a.	3600	in	ns	j.k.l.m.
dv.a.	3600	in	ns	n.k.l.m.
dv.a.	3600	in	ns	o.k.l.m.
dv.a.	3600	in	ns	p.k.l.m.
dv.a.	3600	in	ns	q.r.s.
dv.a.	3600	in	ns	t.r.s.
dv.a.	3600	in	ns	u.r.s.
